query,expected_answer,source_document,Applicatioin Answer
What is the enacting clause required for all Acts of Congress,Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled,Acts_Resolutions.pdf,The enacting clause required for all Acts of Congress is the following: 'Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled.
Who signs an engrossed bill in the House and Senate?,"In the House of Representatives, the engrossed bill is signed by the Clerk of the House.",Acts_Resolutions.pdf,"An engrossed bill in the House of Representatives is signed by the Clerk of the House, and in the Senate, it is signed by the Secretary of the Senate. After passing both Houses, the enrolled bill is signed by the presiding officers of both Houses before being sent to the President of the United States."
What is the mission of the IRS Independent Office of Appeals?,"To resolve federal tax controversies fairly and impartially without litigation, ensuring consistent application of tax laws.",Appeal Rights.pdf,"The mission of the IRS Independent Office of Appeals is to resolve Federal tax controversies without litigation on a basis that is fair and impartial to both the Government and the taxpayer. It also aims to promote a consistent application and interpretation of, and voluntary compliance with, the Federal tax laws, while enhancing public confidence in the integrity and efficiency of the IRS."
When can a taxpayer file a petition with the U.S. Tax Court?,"Only after receiving a notice of deficiency or determination letter, usually within 90 days (150 if outside the U.S.).",Appeal Rights.pdf," After receiving a notice of deficiency for income, estate, gift, or certain excise taxes or penalties, for employment tax liabilities, for abatement of interest claims under IRC 6404"
What is the dollar threshold for using a small case request instead of a formal protest?,"$25,000 or less in tax and penalties for each tax period.",Appeal Rights.pdf,"The dollar threshold for using a small case request instead of a formal written protest is when the total amount of tax and penalties for each tax period involved is $25,000 or less in the letter you received from the IRS. "
What is a qualified withdrawal from a CCF account?,"Withdrawals approved by NMFS to acquire, build, rebuild, or pay debt on qualified vessels.",capital_construction.pdf,A qualified withdrawal from a Capital Construction Fund (CCF) account is a withdrawal approved by the National Marine Fisheries Service (NMFS) for specific purposes related to qualified vessels.
Who administers the Capital Construction Fund (CCF) program?,The program is jointly administered by NOAA’s National Marine Fisheries Service (NMFS) and the IRS.,capital_construction.pdf,"The Capital Construction Fund (CCF) program is administered jointly by the National Oceanic and Atmospheric Administration (NOAA), National Marine Fisheries Service (NMFS), and the Internal Revenue Service (IRS)."
What is the maximum investment income allowed to qualify for the EIC?,"$11,950 or less",earned_income_credit.pdf,"The maximum investment income allowed to qualify for the Earned Income Credit (EIC) is $11,950 or less during the year. If your investment income exceeds this amount, you cannot claim the EIC."
Can you claim the EIC if you file Form 2555 (Foreign Earned Income)?,"No, filing Form 2555 disqualifies you from claiming the EIC.",earned_income_credit.pdf,"No, you cannot claim the Earned Income Credit (EIC) if you file Form 2555 (Foreign Earned Income). The rules explicitly state that filing Form 2555 disqualifies you from claiming the EIC."
What form must employees complete to determine federal income tax withholding?,Form W?4.,Employee_taxGuide.pdf,"Employees must complete Form W-4 to determine federal income tax withholding. This form allows employees to provide their personal information, filing status, and any adjustments to their withholding, such as additional income or tax credits. Employers use the information on Form W-4 to calculate the correct amount of federal income tax to withhold from employees' wages."
Which taxes are employers required to withhold from employee wages?,"Federal income tax, Social Security tax, and Medicare tax.",Employee_taxGuide.pdf,"answer"": ""Employers are required to withhold the following taxes from employee wages:\n\n1. **Federal Income Tax**: Employers must withhold federal income tax from salaries, wages, tips, taxable fringe benefits, sick pay, pensions, annuities, gambling winnings, unemployment compensation, and certain federal payments. This includes regular pay, bonuses, commissions, and vacation allowances, as well as reimbursements and expense allowances paid under a nonaccountable plan. [Source: Federal_Income_tax.pdf, Page: 39]\n\n2. **Social Security and Medicare Taxes**: Cash wages paid to employees, including farmworkers, are generally subject to social security and Medicare taxes. Employers are liable for these taxes whether or not they are collected from the employee. [Source: Employer_tax.pdf, Page: 18]\n\n3. **Additional Medicare Tax**:"
